"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042554","superoxide anion generation","4/215","43/15845",0.0930232558139535,6.85559762033532,4.50942930166194,0.00268834131217464,0.0394008140379581,0.0324317099527019,"EDN1/ITGAM/MAPT/SYK",4
"GO:0048247","lymphocyte chemotaxis","4/215","43/15845",0.0930232558139535,6.85559762033532,4.50942930166194,0.00268834131217464,0.0394008140379581,0.0324317099527019,"DEFA1/GAS6/CCL3/DEFA1B",4
"GO:0050922","negative regulation of chemotaxis","4/215","43/15845",0.0930232558139535,6.85559762033532,4.50942930166194,0.00268834131217464,0.0394008140379581,0.0324317099527019,"AIF1/NBL1/C5/WNT3A",4
"GO:0002888","positive regulation of myeloid leukocyte mediated immunity","3/215","21/15845",0.142857142857143,10.5282392026578,5.12432090871414,0.00273565187005616,0.0394008140379581,0.0324317099527019,"FCGR1A/ITGAM/SPI1",3
"GO:0032930","positive regulation of superoxide anion generation","3/215","21/15845",0.142857142857143,10.5282392026578,5.12432090871414,0.00273565187005616,0.0394008140379581,0.0324317099527019,"ITGAM/MAPT/SYK",3
"GO:0048245","eosinophil chemotaxis","3/215","21/15845",0.142857142857143,10.5282392026578,5.12432090871414,0.00273565187005616,0.0394008140379581,0.0324317099527019,"CCL3/CCL8/CCL13",3
"GO:0048670","regulation of collateral sprouting","3/215","21/15845",0.142857142857143,10.5282392026578,5.12432090871414,0.00273565187005616,0.0394008140379581,0.0324317099527019,"FGF13/SPP1/WNT3A",3
"GO:0048008","platelet-derived growth factor receptor signaling pathway","6/215","103/15845",0.058252427184466,4.29306841273425,3.93243514935839,0.00279199484503567,0.0400311693322006,0.0329505697927633,"TXNIP/EPHA3/F3/APOD/LOX/PDGFC",6
"GO:0031589","cell-substrate adhesion","12/215","348/15845",0.0344827586206897,2.54129911788292,3.40976849025796,0.00290472168578374,0.0413542418567659,0.0340396210068258,"FBLN5/EPHA3/ABI3BP/GAS6/APOA1/APOD/ITGAM/COL5A3/NDNF/SVEP1/FERMT3/CD44",12
"GO:0043410","positive regulation of MAPK cascade","14/215","442/15845",0.0316742081447964,2.33431547932232,3.33686901352209,0.00291025767386603,0.0413542418567659,0.0340396210068258,"EDN1/GAS6/IL6/GDF6/PLA2G2A/TNFRSF19/PDGFC/CCL3/SPI1/SYK/TLR4/PDE8B/CD44/CD74",14
"GO:0002861","regulation of inflammatory response to antigenic stimulus","4/215","44/15845",0.0909090909090909,6.69978858350951,4.44032702561965,0.00292617848700923,0.0413956716628906,0.0340737228265075,"FCGR1A/HCK/SYK/CD28",4
"GO:0006801","superoxide metabolic process","5/215","72/15845",0.0694444444444444,5.11789405684755,4.10729998395724,0.00293970952610812,0.0414030770867351,0.0340798184000144,"FBLN5/EDN1/ITGAM/MAPT/SYK",5
"GO:0098801","regulation of renal system process","3/215","22/15845",0.136363636363636,10.0496828752643,4.98164120378675,0.00313617113496372,0.0439754745488526,0.0361972175048677,"AGTR1/EDN1/GAS6",3
"GO:0043300","regulation of leukocyte degranulation","4/215","45/15845",0.0888888888888889,6.55090439276486,4.37334378732219,0.00317801001426597,0.0441729514209982,0.0363597652287199,"NCKAP1L/ITGAM/SPI1/SYK",4
"GO:0046633","alpha-beta T cell proliferation","4/215","45/15845",0.0888888888888889,6.55090439276486,4.37334378732219,0.00317801001426597,0.0441729514209982,0.0363597652287199,"HLA-A/SYK/TNFRSF14/CD28",4
"GO:0046635","positive regulation of alpha-beta T cell activation","5/215","74/15845",0.0675675675675676,4.97957259585167,4.02434155688989,0.00331164106186193,0.0458302326082892,0.0377239112264272,"NCKAP1L/HLA-A/HLX/SYK/CD28",5
"GO:0043583","ear development","9/215","222/15845",0.0405405405405405,2.987743557511,3.49805620477201,0.00336016016030098,0.0463003887023291,0.0381109074458379,"C1QTNF5/EDN1/LRIG1/OTOGL/MSX1/MYCN/CYTL1/MCOLN3/WNT3A",9
"GO:0030890","positive regulation of B cell proliferation","4/215","46/15845",0.0869565217391304,6.40849342770475,4.30836590539245,0.00344422622211443,0.0472541899353028,0.0388960030256027,"NCKAP1L/TLR4/WNT3A/CD74",4
"GO:0031349","positive regulation of defense response","15/215","500/15845",0.03,2.21093023255814,3.22695445387086,0.00347759127064948,0.0473582583062904,0.0389816640786933,"AGTR1/FCGR1A/HCK/STING1/IL6/MNDA/SLC15A3/TLR8/PLA2G2A/CCL3/SPI1/SYK/TLR1/TLR4/CD28",15
"GO:0051897","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","8/215","183/15845",0.0437158469945355,3.22175625873682,3.54544297957538,0.00355635828562788,0.0473582583062904,0.0389816640786933,"GAS6/IRS1/NTS/TMEM100/PDGFC/CCL3/AKR1C3/CD28",8
"GO:0034612","response to tumor necrosis factor","9/215","224/15845",0.0401785714285714,2.96106727574751,3.46684355002153,0.00356479938218797,0.0473582583062904,0.0389816640786933,"EDN1/GAS6/APOA1/AFF3/TNFRSF19/CCL3/SYK/PLVAP/TNFRSF14",9
"GO:0071219","cellular response to molecule of bacterial origin","9/215","224/15845",0.0401785714285714,2.96106727574751,3.46684355002153,0.00356479938218797,0.0473582583062904,0.0389816640786933,"DEFA1/DEFA3/HCK/IL6/PLSCR4/BMP6/TLR1/TLR4/DEFA1B",9
"GO:0010640","regulation of platelet-derived growth factor receptor signaling pathway","3/215","23/15845",0.130434782608696,9.61274014155713,4.8478227215498,0.00357083945759023,0.0473582583062904,0.0389816640786933,"F3/APOD/LOX",3
"GO:0032928","regulation of superoxide anion generation","3/215","23/15845",0.130434782608696,9.61274014155713,4.8478227215498,0.00357083945759023,0.0473582583062904,0.0389816640786933,"ITGAM/MAPT/SYK",3
"GO:0034114","regulation of heterotypic cell-cell adhesion","3/215","23/15845",0.130434782608696,9.61274014155713,4.8478227215498,0.00357083945759023,0.0473582583062904,0.0389816640786933,"APOA1/MBP/CD44",3
"GO:0098581","detection of external biotic stimulus","3/215","23/15845",0.130434782608696,9.61274014155713,4.8478227215498,0.00357083945759023,0.0473582583062904,0.0389816640786933,"HLA-A/TLR1/TLR4",3
"GO:0002440","production of molecular mediator of immune response","9/215","225/15845",0.04,2.94790697674419,3.45136678447201,0.00367072700128868,0.0483465123002199,0.0397951185129049,"HLA-A/APOA1/IL6/CALHM6/SYK/TLR4/TNFRSF14/CD28/CD74",9
"GO:0070374","positive regulation of ERK1 and ERK2 cascade","8/215","184/15845",0.0434782608695652,3.20424671385238,3.52721170114239,0.00367573232065762,0.0483465123002199,0.0397951185129049,"GAS6/PLA2G2A/PDGFC/CCL3/TLR4/PDE8B/CD44/CD74",8
"GO:0033209","tumor necrosis factor-mediated signaling pathway","6/215","109/15845",0.055045871559633,4.05675272029016,3.7557661265392,0.00369870757473687,0.0483973488656439,0.039836963251017,"GAS6/APOA1/TNFRSF19/SYK/PLVAP/TNFRSF14",6
"GO:0032481","positive regulation of type I interferon production","5/215","76/15845",0.0657894736842105,4.84853121175031,3.94431771774974,0.0037162956666566,0.0483973488656439,0.039836963251017,"CLEC12A/STING1/TLR8/SYK/TLR4",5
"GO:0085029","extracellular matrix assembly","4/215","47/15845",0.0851063829787234,6.27214250371103,4.24528814163968,0.00372521221240426,0.0483973488656439,0.039836963251017,"FBLN5/GAS6/LOX/MYH11",4
"GO:0007229","integrin-mediated signaling pathway","6/215","110/15845",0.0545454545454545,4.01987315010571,3.72755300336006,0.00386882528118296,0.0498561573684428,0.0410377418489853,"HCK/APOA1/ITGAM/PLEK/SYK/FERMT3",6
"GO:0019882","antigen processing and presentation","6/215","110/15845",0.0545454545454545,4.01987315010571,3.72755300336006,0.00386882528118296,0.0498561573684428,0.0410377418489853,"FCGR1A/HLA-A/MARCHF1/SLC11A1/WAS/CD74",6
