"gene","n_datasets_with_gene","non_imputed_First.trimester","non_imputed_Second.trimester","in_both_groups"
"122525",5,86,15,TRUE
"122553",5,86,15,TRUE
"122616",4,50,15,TRUE
"1234",5,86,15,TRUE
"1235",4,50,15,TRUE
"123591",5,86,15,TRUE
"123606",4,50,15,TRUE
"123688",5,86,15,TRUE
"123720",5,86,15,TRUE
"123872",5,66,15,TRUE
"123879",5,86,15,TRUE
"124",5,66,15,TRUE
"1240",5,66,15,TRUE
"124044",5,86,15,TRUE
"124056",5,86,15,TRUE
"124222",4,50,15,TRUE
"124446",5,86,15,TRUE
"124512",5,86,15,TRUE
"124565",5,86,15,TRUE
"124590",4,50,15,TRUE
"124637",5,66,15,TRUE
"124739",5,86,15,TRUE
"124801",3,94,7,TRUE
"124944",3,94,7,TRUE
"124961",5,66,15,TRUE
"124976",5,86,15,TRUE
"125058",5,86,15,TRUE
"125061",5,66,15,TRUE
"125150",5,86,15,TRUE
"125206",5,66,15,TRUE
"125875",4,50,15,TRUE
"125893",4,50,15,TRUE
"1259",5,66,15,TRUE
"125919",3,94,7,TRUE
"125950",5,86,15,TRUE
"126003",5,86,15,TRUE
"126017",3,94,7,TRUE
"126069",5,66,15,TRUE
"126205",4,50,15,TRUE
"126272",5,66,15,TRUE
"126353",4,50,15,TRUE
"126374",4,50,15,TRUE
"126375",5,66,15,TRUE
"126393",5,86,15,TRUE
"126432",1,42,7,TRUE
"1265",5,86,15,TRUE
"126637",1,42,7,TRUE
"126669",4,50,15,TRUE
"126917",5,86,15,TRUE
"1271",4,50,15,TRUE
"127281",4,50,15,TRUE
"127396",4,50,15,TRUE
"127435",4,50,15,TRUE
"127495",4,50,15,TRUE
"127703",4,50,15,TRUE
"127933",5,86,15,TRUE
"127943",5,86,15,TRUE
"128025",4,50,15,TRUE
"128077",5,66,15,TRUE
"128308",5,86,15,TRUE
"128338",5,86,15,TRUE
"128387",5,86,15,TRUE
"1288",5,66,15,TRUE
"128989",5,86,15,TRUE
"129049",5,86,15,TRUE
"129138",5,86,15,TRUE
"129303",5,86,15,TRUE
"1296",5,86,15,TRUE
"129642",5,66,15,TRUE
"1298",5,86,15,TRUE
"129868",2,78,7,TRUE
"130026",5,86,15,TRUE
"130074",5,86,15,TRUE
"130075",1,42,7,TRUE
"1301",5,66,15,TRUE
"130132",4,50,15,TRUE
"130271",4,50,15,TRUE
"130340",5,86,15,TRUE
"130355",5,86,15,TRUE
"130367",5,86,15,TRUE
"130497",5,66,15,TRUE
"130535",4,50,15,TRUE
"130574",5,66,15,TRUE
"130733",5,66,15,TRUE
"131076",5,86,15,TRUE
"131450",5,66,15,TRUE
"131566",5,86,15,TRUE
"131578",4,50,15,TRUE
"131873",4,50,15,TRUE
"131920",4,50,15,TRUE
"132228",4,50,15,TRUE
"132430",5,86,15,TRUE
"132625",5,86,15,TRUE
"132660",5,86,15,TRUE
"132671",5,86,15,TRUE
"132720",5,66,15,TRUE
"132789",4,50,15,TRUE
"132864",5,66,15,TRUE
"133022",5,86,15,TRUE
"133491",4,50,15,TRUE
"1337",3,94,7,TRUE
"133874",5,86,15,TRUE
"134359",5,86,15,TRUE
"134728",4,50,15,TRUE
"135112",5,86,15,TRUE
"135293",5,86,15,TRUE
"135458",4,50,15,TRUE
"136288",4,50,15,TRUE
"136319",3,94,7,TRUE
"1365",5,86,15,TRUE
"1370",4,50,15,TRUE
"1375",3,94,7,TRUE
"137886",5,86,15,TRUE
"138046",4,50,15,TRUE
"138050",5,86,15,TRUE
"138199",4,50,15,TRUE
"138241",5,86,15,TRUE
"138639",4,50,15,TRUE
"139065",4,50,15,TRUE
"139170",4,50,15,TRUE
"139231",5,86,15,TRUE
"139285",5,86,15,TRUE
"1393",5,66,15,TRUE
"139324",4,50,15,TRUE
"1394",2,78,7,TRUE
"139596",5,86,15,TRUE
"139716",4,50,15,TRUE
"139728",5,86,15,TRUE
"139741",1,42,7,TRUE
"139886",5,86,15,TRUE
"1399",5,86,15,TRUE
"1400",5,66,15,TRUE
"140290",2,78,7,TRUE
"140462",5,66,15,TRUE
"140469",4,50,15,TRUE
"140545",4,50,15,TRUE
"140564",4,50,15,TRUE
"140685",5,86,15,TRUE
"140706",5,66,15,TRUE
"140710",5,86,15,TRUE
"140730",4,50,15,TRUE
"140738",5,86,15,TRUE
"140825",2,58,7,TRUE
"140838",5,86,15,TRUE
"140862",5,86,15,TRUE
"140885",5,86,15,TRUE
"140886",4,50,15,TRUE
"140901",5,86,15,TRUE
"141",5,86,15,TRUE
"1412",5,66,15,TRUE
"1414",4,50,15,TRUE
"1415",5,86,15,TRUE
"142679",5,86,15,TRUE
"1428",5,86,15,TRUE
"143",3,94,7,TRUE
"1431",3,94,7,TRUE
"143279",5,66,15,TRUE
"143503",4,50,15,TRUE
"143570",4,50,15,TRUE
"143630",4,50,15,TRUE
"143686",5,86,15,TRUE
"143689",5,86,15,TRUE
"143872",4,50,15,TRUE
"143879",4,50,15,TRUE
"144110",5,66,15,TRUE
"144165",5,86,15,TRUE
"1442",5,86,15,TRUE
"144245",5,86,15,TRUE
"1443",5,86,15,TRUE
"144348",5,86,15,TRUE
"144363",5,86,15,TRUE
"1444",5,86,15,TRUE
"144453",4,50,15,TRUE
"144455",5,86,15,TRUE
"1445",5,86,15,TRUE
"144501",5,86,15,TRUE
"144577",5,86,15,TRUE
"144608",5,86,15,TRUE
"144699",5,66,15,TRUE
"144717",5,86,15,TRUE
"144811",5,86,15,TRUE
"144983",2,78,7,TRUE
"145173",4,50,15,TRUE
"1454",3,94,7,TRUE
"145553",3,94,7,TRUE
"145567",5,86,15,TRUE
"145781",2,78,7,TRUE
"145853",5,86,15,TRUE
"145957",5,86,15,TRUE
"146050",5,86,15,TRUE
"146177",4,50,15,TRUE
"146198",5,86,15,TRUE
"1463",4,50,15,TRUE
"1464",5,66,15,TRUE
"146434",5,66,15,TRUE
"146540",4,50,15,TRUE
"146691",5,86,15,TRUE
"146705",5,86,15,TRUE
"146754",4,50,15,TRUE
"146760",5,66,15,TRUE
"146779",1,42,7,TRUE
"146894",5,66,15,TRUE
"147011",5,86,15,TRUE
"147040",2,78,7,TRUE
"147372",4,50,15,TRUE
"147650",5,86,15,TRUE
"147687",5,66,15,TRUE
"147694",5,66,15,TRUE
"147837",4,50,15,TRUE
"147841",5,86,15,TRUE
"147948",4,50,15,TRUE
"147949",5,66,15,TRUE
"147965",5,86,15,TRUE
"148003",2,78,7,TRUE
"148156",5,86,15,TRUE
"148203",5,86,15,TRUE
"148398",4,50,15,TRUE
"148811",4,50,15,TRUE
"1490",5,66,15,TRUE
"149095",4,50,15,TRUE
"1493",4,50,15,TRUE
"149420",5,86,15,TRUE
"149428",4,50,15,TRUE
"149461",5,86,15,TRUE
"149603",5,86,15,TRUE
"149628",4,50,15,TRUE
"149708",4,50,15,TRUE
"149840",5,66,15,TRUE
"150",4,50,15,TRUE
"1500",3,94,7,TRUE
"150084",5,86,15,TRUE
"150094",3,94,7,TRUE
"150159",4,50,15,TRUE
"150223",5,86,15,TRUE
"150365",5,86,15,TRUE
"150465",5,66,15,TRUE
"150590",5,86,15,TRUE
"150696",5,86,15,TRUE
"150709",5,86,15,TRUE
"151",5,66,15,TRUE
"1511",5,66,15,TRUE
"151246",5,86,15,TRUE
"151295",4,50,15,TRUE
"151306",5,86,15,TRUE
"151313",1,42,7,TRUE
"151473",4,50,15,TRUE
"151613",5,86,15,TRUE
"151647",4,50,15,TRUE
"151651",4,50,15,TRUE
"151742",4,50,15,TRUE
"152065",5,86,15,TRUE
"152098",4,50,15,TRUE
"152217",5,86,15,TRUE
"1524",4,50,15,TRUE
"152404",4,50,15,TRUE
"152485",4,50,15,TRUE
"152519",5,66,15,TRUE
