"gene","n_datasets_with_gene","non_imputed_First.trimester","non_imputed_Second.trimester","in_both_groups"
"6136",1,42,7,TRUE
"6139",1,42,7,TRUE
"6141",1,42,7,TRUE
"6142",1,42,7,TRUE
"6143",1,42,7,TRUE
"6144",1,42,7,TRUE
"6147",1,42,7,TRUE
"6152",1,42,7,TRUE
"6154",1,42,7,TRUE
"6155",1,42,7,TRUE
"6159",1,42,7,TRUE
"6161",1,42,7,TRUE
"6164",1,42,7,TRUE
"6166",1,42,7,TRUE
"6170",1,42,7,TRUE
"6171",1,42,7,TRUE
"6173",1,42,7,TRUE
"6175",1,42,7,TRUE
"6176",1,42,7,TRUE
"6187",1,42,7,TRUE
"6189",1,42,7,TRUE
"6191",1,42,7,TRUE
"6193",1,42,7,TRUE
"6201",1,42,7,TRUE
"6202",1,42,7,TRUE
"6203",1,42,7,TRUE
"6204",1,42,7,TRUE
"6206",1,42,7,TRUE
"6207",1,42,7,TRUE
"6209",1,42,7,TRUE
"6210",1,42,7,TRUE
"6222",1,42,7,TRUE
"6230",1,42,7,TRUE
"6231",1,42,7,TRUE
"6232",1,42,7,TRUE
"6248",1,42,7,TRUE
"6278",1,42,7,TRUE
"632",1,42,7,TRUE
"6348",1,42,7,TRUE
"6349",1,42,7,TRUE
"6389",1,42,7,TRUE
"63915",1,42,7,TRUE
"641371",1,42,7,TRUE
"643161",1,42,7,TRUE
"643664",1,42,7,TRUE
"643834",1,42,7,TRUE
"643853",1,42,7,TRUE
"643905",1,42,7,TRUE
"644591",1,42,7,TRUE
"64682",1,42,7,TRUE
"648",1,42,7,TRUE
"64853",1,42,7,TRUE
"649330",1,42,7,TRUE
"64951",1,42,7,TRUE
"65249",1,42,7,TRUE
"653145",1,42,7,TRUE
"653361",1,42,7,TRUE
"653437",1,42,7,TRUE
"653489",1,42,7,TRUE
"653505",1,42,7,TRUE
"653567",1,42,7,TRUE
"653604",1,42,7,TRUE
"653820",1,42,7,TRUE
"654364",1,42,7,TRUE
"65987",1,42,7,TRUE
"6606",1,42,7,TRUE
"6611",1,42,7,TRUE
"6627",1,42,7,TRUE
"6637",1,42,7,TRUE
"6638",1,42,7,TRUE
"6652",1,42,7,TRUE
"6759",1,42,7,TRUE
"6818",1,42,7,TRUE
"6917",1,42,7,TRUE
"6996",1,42,7,TRUE
"7109",1,42,7,TRUE
"7114",1,42,7,TRUE
"723790",1,42,7,TRUE
"723961",1,42,7,TRUE
"7268",1,42,7,TRUE
"727",1,42,7,TRUE
"727832",1,42,7,TRUE
"727851",1,42,7,TRUE
"727866",1,42,7,TRUE
"728113",1,42,7,TRUE
"728229",1,42,7,TRUE
"728269",1,42,7,TRUE
"728358",1,42,7,TRUE
"728369",1,42,7,TRUE
"728378",1,42,7,TRUE
"728492",1,42,7,TRUE
"728524",1,42,7,TRUE
"728642",1,42,7,TRUE
"728661",1,42,7,TRUE
"728689",1,42,7,TRUE
"728833",1,42,7,TRUE
"729020",1,42,7,TRUE
"729533",1,42,7,TRUE
"729597",1,42,7,TRUE
"729857",1,42,7,TRUE
"729920",1,42,7,TRUE
"730291",1,42,7,TRUE
"7307",1,42,7,TRUE
"7316",1,42,7,TRUE
"7335",1,42,7,TRUE
"7386",1,42,7,TRUE
"7388",1,42,7,TRUE
"7416",1,42,7,TRUE
"7458",1,42,7,TRUE
"7565",1,42,7,TRUE
"7568",1,42,7,TRUE
"7576",1,42,7,TRUE
"7681",1,42,7,TRUE
"7730",1,42,7,TRUE
"7784",1,42,7,TRUE
"7851",1,42,7,TRUE
"79005",1,42,7,TRUE
"79008",1,42,7,TRUE
"79031",1,42,7,TRUE
"79081",1,42,7,TRUE
"7919",1,42,7,TRUE
"79190",1,42,7,TRUE
"79692",1,42,7,TRUE
"79706",1,42,7,TRUE
"79716",1,42,7,TRUE
"79897",1,42,7,TRUE
"80823",1,42,7,TRUE
"8106",1,42,7,TRUE
"81061",1,42,7,TRUE
"81309",1,42,7,TRUE
"81557",1,42,7,TRUE
"81567",1,42,7,TRUE
"8190",1,42,7,TRUE
"8209",1,42,7,TRUE
"8214",1,42,7,TRUE
"8263",1,42,7,TRUE
"829",1,42,7,TRUE
"8334",1,42,7,TRUE
"8337",1,42,7,TRUE
"8338",1,42,7,TRUE
"83444",1,42,7,TRUE
"8362",1,42,7,TRUE
"8363",1,42,7,TRUE
"83640",1,42,7,TRUE
"83650",1,42,7,TRUE
"8370",1,42,7,TRUE
"83849",1,42,7,TRUE
"83940",1,42,7,TRUE
"84108",1,42,7,TRUE
"84126",1,42,7,TRUE
"84129",1,42,7,TRUE
"84182",1,42,7,TRUE
"84187",1,42,7,TRUE
"84210",1,42,7,TRUE
"84218",1,42,7,TRUE
"84220",1,42,7,TRUE
"84321",1,42,7,TRUE
"84342",1,42,7,TRUE
"84650",1,42,7,TRUE
"84833",1,42,7,TRUE
"84960",1,42,7,TRUE
"84992",1,42,7,TRUE
"85002",1,42,7,TRUE
"85013",1,42,7,TRUE
"8510",1,42,7,TRUE
"8517",1,42,7,TRUE
"85316",1,42,7,TRUE
"85359",1,42,7,TRUE
"85376",1,42,7,TRUE
"8577",1,42,7,TRUE
"8605",1,42,7,TRUE
"8637",1,42,7,TRUE
"8663",1,42,7,TRUE
"8681",1,42,7,TRUE
"8693",1,42,7,TRUE
"875",1,42,7,TRUE
"8926",1,42,7,TRUE
"8969",1,42,7,TRUE
"8970",1,42,7,TRUE
"89780",1,42,7,TRUE
"8987",1,42,7,TRUE
"90353",1,42,7,TRUE
"91445",1,42,7,TRUE
"91664",1,42,7,TRUE
"91894",1,42,7,TRUE
"91942",1,42,7,TRUE
"91966",1,42,7,TRUE
"92815",1,42,7,TRUE
"9284",1,42,7,TRUE
"93107",1,42,7,TRUE
"93492",1,42,7,TRUE
"93659",1,42,7,TRUE
"9394",1,42,7,TRUE
"94027",1,42,7,TRUE
"94115",1,42,7,TRUE
"95",1,42,7,TRUE
"9524",1,42,7,TRUE
"9554",1,42,7,TRUE
"96626",1,42,7,TRUE
"9710",1,42,7,TRUE
"9718",1,42,7,TRUE
"9724",1,42,7,TRUE
"9729",1,42,7,TRUE
"9747",1,42,7,TRUE
"9831",1,42,7,TRUE
"9859",1,42,7,TRUE
"9884",1,42,7,TRUE
"9936",1,42,7,TRUE
"1",1,4,4,TRUE
"1000",1,4,4,TRUE
"10002",1,4,4,TRUE
"10004",1,4,4,TRUE
"10008",1,4,4,TRUE
"100101467",1,4,4,TRUE
"100125288",1,4,4,TRUE
"100128071",1,4,4,TRUE
"100128327",1,4,4,TRUE
"100129098",1,4,4,TRUE
"100129128",1,4,4,TRUE
"100129250",1,4,4,TRUE
"100129271",1,4,4,TRUE
"100129361",1,4,4,TRUE
"100129528",1,4,4,TRUE
"100129654",1,4,4,TRUE
"100129969",1,4,4,TRUE
"100130519",1,4,4,TRUE
"100130733",1,4,4,TRUE
"100130933",1,4,4,TRUE
"100131017",1,4,4,TRUE
"100131211",1,4,4,TRUE
"100131303",1,4,4,TRUE
"100131755",1,4,4,TRUE
"100131827",1,4,4,TRUE
"100131897",1,4,4,TRUE
"100132074",1,4,4,TRUE
"100132386",1,4,4,TRUE
"100132476",1,4,4,TRUE
"100137047",1,4,4,TRUE
"100141515",1,4,4,TRUE
"100144748",1,4,4,TRUE
"10017",1,4,4,TRUE
"100170229",1,4,4,TRUE
"100170765",1,4,4,TRUE
"1002",1,4,4,TRUE
"10022",1,4,4,TRUE
"100272147",1,4,4,TRUE
"100287482",1,4,4,TRUE
"100288797",1,4,4,TRUE
"100289187",1,4,4,TRUE
"100289255",1,4,4,TRUE
"100289678",1,4,4,TRUE
"100293516",1,4,4,TRUE
"100303755",1,4,4,TRUE
"100316904",1,4,4,TRUE
"100329135",1,4,4,TRUE
"100381270",1,4,4,TRUE
"1004",1,4,4,TRUE
"10040",1,4,4,TRUE
"10042",1,4,4,TRUE
"100421372",1,4,4,TRUE
"10046",1,4,4,TRUE
